,districtFull,medianIncome,meanIncome,over75,over200,l150h200,under50,under40,under25,prcntCollege,prcntWhite,prcntBlack,prcntAsian,prcntLat,industry,rural,urbanLoose,urbanStrict,urbanAll,district,state,distNum,handle,party,policy,homestyle,other,prcntHome,prcntPolicy,prcntHomeOther
305,"Congressional District 5 (113th Congress), Texas",44218,59712,26.2,2.4,3,55.1,40,27.4,18.1,78.1,15.2,2.2,26.3,2.6,0.342930531,0.45038052,0.206688949,0.657069469,TX-05,TX,5,rephensarling,R,414,109,5,0.206439394,0.784090909,0.208413002
306,"Congressional District 5 (113th Congress), Virginia",46378,64349,28.7,3.2,3.7,52.8,38.8,26.8,24.8,76.9,21.6,2,3.3,2.2,0.671166706,0.162711168,0.166122126,0.328833294,VA-05,VA,5,reproberthurt,R,741,771,3,0.508910891,0.489108911,0.509920635
307,"Congressional District 5 (113th Congress), Washington",46100,60013,27.6,2.6,2.8,53.5,39,27.5,27.5,92.4,2.6,3.4,5.7,2.6,0.245810037,0.663673876,0.090516087,0.754189963,WA-05,WA,5,cathymcmorris,R,1868,1321,17,0.412039925,0.582657517,0.414236438
308,"Congressional District 52 (113th Congress), California",80360,104500,53.4,10.8,10.2,31.2,21.5,15.3,54.6,73.8,3.9,22.1,13.2,0.3,0.003584638,0.996415362,0,0.996415362,CA-52,CA,52,scottpeterssd,D,605,651,9,0.514624506,0.47826087,0.518312102
309,"Congressional District 6 (113th Congress), Alabama",56810,76440,37.2,4.6,5.3,44.6,30.5,20.3,33.4,81.7,13.9,2,5.2,1.2,0.310655456,0.661893871,0.027450673,0.689344544,AL-06,AL,6,bachusal06,R,340,117,0,0.256017505,0.743982495,0.256017505
310,"Congressional District 6 (113th Congress), Arizona",60626,88024,40.5,7.6,6.1,42,28.6,19,40.2,88.7,3.1,5,14.4,0.4,0.034581138,0.965418862,0,0.965418862,AZ-06,AZ,6,repdavid,R,1468,1170,12,0.441509434,0.553962264,0.443517817
311,"Congressional District 6 (113th Congress), California",45944,61327,28.4,2.6,3.8,53.4,39,28.2,25.1,59.5,15.5,17.9,27.2,0.8,0.000987579,0.999012421,0,0.999012421,CA-06,CA,6,dorismatsui,D,573,331,4,0.364537445,0.631057269,0.366150442
312,"Congressional District 6 (113th Congress), Colorado",65451,85858,43.2,6.3,6.7,37.3,24.8,15.7,39,79.9,10.7,6.3,19.9,1.1,0.014295389,0.985704611,0,0.985704611,CO-06,CO,6,repmikecoffman,R,1032,494,4,0.322875817,0.674509804,0.323722149
313,"Congressional District 6 (113th Congress), Florida",44772,65395,27.1,3.8,3.3,54.5,39,27.2,26.4,85.6,10.4,2.4,6.9,1.3,0.168116343,0.800619315,0.031264342,0.831883657,FL-06,FL,6,rondesantisfl,R,58,38,3,0.383838384,0.585858586,0.395833333
314,"Congressional District 6 (113th Congress), Georgia",75672,105380,50.2,12.2,9.1,33.5,23.2,15,56.4,73.1,13.8,10.7,12.5,0.3,0.001981003,0.998018997,0,0.998018997,GA-06,GA,6,reptomprice,R,2726,496,7,0.153607928,0.844224218,0.153941651
315,"Congressional District 6 (113th Congress), Illinois",88128,114033,57.2,12.6,10.6,26.7,17.4,11.2,49.9,87,3.1,8.9,9.1,0.3,0.006401493,0.993598507,0,0.993598507,IL-06,IL,6,peterroskam,R,2467,696,15,0.219005664,0.776274386,0.220044262
316,"Congressional District 6 (113th Congress), Indiana",44418,56968,25.2,1.7,2.2,55.2,39.6,26.7,18.1,95.6,2.7,1.3,2.4,1.8,0.437523126,0.281626152,0.280850722,0.562476874,IN-06,IN,6,luke_messer,R,58,148,1,0.714975845,0.280193237,0.718446602
317,"Congressional District 6 (113th Congress), Kentucky",44335,60756,27.6,2.7,3,55,40.5,29,28.7,87.4,9.8,2.1,4.5,2.9,0.270606951,0.408839796,0.320553253,0.729393049,KY-06,KY,6,barrforcongress,R,87,147,1,0.625531915,0.370212766,0.628205128
318,"Congressional District 6 (113th Congress), Louisiana",55549,71689,36.8,3.8,4.9,45.6,32.1,22.4,28,73.6,23.6,2.2,4.1,2.6,0.218742148,0.75718607,0.024071783,0.781257852,LA-06,LA,6,billcassidy,R,1181,611,4,0.340200445,0.657572383,0.340959821
319,"Congressional District 6 (113th Congress), Massachusetts",76141,98315,50.6,8.8,9.4,33.3,23.5,16.4,40.2,89.5,3.9,4.2,7.6,0.5,0.042096627,0.957903373,0,0.957903373,MA-06,MA,6,reptierney,D,441,286,2,0.392318244,0.604938272,0.393397524
320,"Congressional District 6 (113th Congress), Michigan",45126,59689,26.4,2.2,2.8,54.4,39.1,27.3,24.8,87.6,10,1.9,5.5,2.6,0.424311553,0.438048247,0.137640199,0.575688447,MI-06,MI,6,repfredupton,R,1163,478,7,0.290048544,0.705703883,0.291285801
321,"Congressional District 6 (113th Congress), Minnesota",68428,79585,44.9,3.3,5.7,34.9,22.1,14.3,27.5,94,2.8,3,2.5,1.4,0.308905613,0.509728755,0.181365632,0.691094387,MN-06,MN,6,michelebachmann,R,1897,786,19,0.290895633,0.702072539,0.292955647
322,"Congressional District 6 (113th Congress), New Jersey",74204,93826,49.5,8.1,9.1,33.5,23.5,16.4,36.7,68.9,11.3,18.3,20.2,0.2,0,1,0,1,NJ-06,NJ,6,frankpallone,D,1808,1390,8,0.433562071,0.563942608,0.434646654
323,"Congressional District 6 (113th Congress), New York",56229,72773,36.9,4.1,5.9,44.5,32.1,22.6,36.9,51.2,4.5,38.6,18.7,0.2,0,1,0,1,NY-06,NY,6,repgracemeng,D,617,595,4,0.489309211,0.507401316,0.490924092
324,"Congressional District 6 (113th Congress), North Carolina",48266,64733,30.2,3,3.7,51.3,36.5,24.6,27.8,79.1,16.7,2.4,6,1.1,0.431929713,0.466278205,0.101792082,0.568070287,NC-06,NC,6,howardcoble,R,208,416,3,0.663476874,0.331738437,0.666666667
325,"Congressional District 6 (113th Congress), Ohio",41220,53395,22.5,1.4,1.7,58.9,42.6,30.1,14.8,96.9,3.1,0.5,1,3,0.564607407,0.18919235,0.246200243,0.435392593,OH-06,OH,6,repbilljohnson,R,1546,707,8,0.312693498,0.683768244,0.313803817
326,"Congressional District 6 (113th Congress), Pennsylvania",72484,95557,48.5,8.4,8.4,32.8,21.8,14.1,40.6,89.8,5,4.5,5,1,0.107939691,0.892060309,0,0.892060309,PA-06,PA,6,jimgerlach,R,407,249,2,0.378419453,0.618541033,0.379573171
327,"Congressional District 6 (113th Congress), South Carolina",32511,45531,16.3,1.1,1.4,67.8,52.8,39.2,17.8,39.6,58.1,1.2,4.6,1.5,0.457318113,0.40918116,0.133500727,0.542681887,SC-06,SC,6,clyburn,D,390,228,6,0.365384615,0.625,0.368932039
328,"Congressional District 6 (113th Congress), Tennessee",43666,57721,25.6,2,2.4,56.2,40.5,28.1,19.1,93.5,4.7,1.1,3.7,1.8,0.527538914,0.212080432,0.260380654,0.472461086,TN-06,TN,6,repdianeblack,R,1800,487,4,0.21257093,0.785683108,0.21294272
329,"Congressional District 6 (113th Congress), Texas",57914,73215,37.4,3.5,4.7,42.4,28.7,18.8,28.4,72.1,19.4,5.4,21.7,1,0.115069869,0.827535525,0.057394605,0.884930131,TX-06,TX,6,repjoebarton,R,744,221,36,0.220779221,0.743256743,0.229015544
330,"Congressional District 6 (113th Congress), Virginia",46864,61063,27.9,2.3,3.3,52.8,37.6,25.8,25.3,86.4,12.2,2,4.3,1.9,0.372293627,0.525711702,0.101994672,0.627706373,VA-06,VA,6,repgoodlatte,R,1257,924,3,0.423076923,0.575549451,0.423658872
331,"Congressional District 6 (113th Congress), Washington",52535,68131,32.5,3,4.1,47.3,32.2,21.6,27,87.1,5.3,6.1,6.7,1.7,0.263546193,0.55008412,0.186369687,0.736453807,WA-06,WA,6,repderekkilmer,D,146,130,1,0.469314079,0.527075812,0.471014493
332,"Congressional District 7 (113th Congress), Alabama",31364,44762,16.9,1.1,1.6,68.4,54.1,41.8,18,34.3,64.4,0.7,2.7,2.1,0.285136881,0.656488048,0.058375071,0.714863119,AL-07,AL,7,repterrisewell,D,496,554,4,0.525616698,0.470588235,0.527619048
333,"Congressional District 7 (113th Congress), California",62996,79076,41.6,4.7,6.6,39.7,26.9,17.6,30.8,69.9,9.7,17.2,16.6,0.5,0.025321822,0.965499064,0.009179114,0.974678178,CA-07,CA,7,repbera,D,306,327,3,0.514150943,0.481132075,0.516587678
334,"Congressional District 7 (113th Congress), Colorado",57249,72142,36.8,3.7,4.7,42.9,28.8,18.9,29.9,88.8,2.1,4.3,27.3,1.4,0.005473366,0.994523232,3.40E-06,0.994526634,CO-07,CO,7,repperlmutter,D,467,333,1,0.415730337,0.583021223,0.41625
335,"Congressional District 7 (113th Congress), Indiana",37349,49955,20.3,1.2,1.9,62.5,46.7,33,20.7,64,30.3,2.3,10.2,0.3,0.005790092,0.994209908,0,0.994209908,IN-07,IN,7,repandrecarson,D,654,874,5,0.57012394,0.426614481,0.571989529
336,"Congressional District 7 (113th Congress), Michigan",50500,62665,30.1,2.2,3.4,49.5,34.4,23.5,21.8,93.6,5.2,1.2,3.9,1.6,0.464843634,0.3742506,0.160905766,0.535156366,MI-07,MI,7,repwalberg,R,822,439,6,0.346487766,0.648776638,0.3481364
337,"Congressional District 7 (113th Congress), Missouri",40684,53741,21.4,1.7,2,59.6,43,29.6,22.3,95.3,2.4,1.4,4.4,1.7,0.384442367,0.471256645,0.144300987,0.615557633,MO-07,MO,7,auctnr1,R,2222,938,55,0.291757387,0.691135303,0.296835443
338,"Congressional District 7 (113th Congress), New Jersey",98726,133522,62.5,17.5,12,23.6,15.8,10.3,49.1,83.2,4.6,8.9,11.4,0.4,0.139705063,0.85008033,0.010214607,0.860294937,NJ-07,NJ,7,replancenj7,R,288,216,1,0.427722772,0.57029703,0.428571429
339,"Congressional District 7 (113th Congress), New York",41596,66868,28.9,5.2,4.2,56.2,44,33.7,27.6,50.8,11.9,18.9,44,0.2,0,1,0,1,NY-07,NY,7,nydiavelazquez,D,108,41,0,0.275167785,0.724832215,0.275167785
340,"Congressional District 7 (113th Congress), North Carolina",45112,60471,27.4,2.2,2.8,54.6,39.9,28.3,23,76,18.4,0.9,9.6,3.2,0.501758408,0.330288579,0.167953013,0.498241592,NC-07,NC,7,repmikemcintyre,D,634,766,8,0.544034091,0.450284091,0.547142857
341,"Congressional District 7 (113th Congress), Ohio",47339,60136,27.2,2.1,2.4,52.7,36.3,23.8,18.2,95,5,0.7,1.8,2,0.376004021,0.423611731,0.200384248,0.623995979,OH-07,OH,7,repbobgibbs,R,955,446,8,0.316536551,0.677785664,0.31834404
342,"Congressional District 7 (113th Congress), Pennsylvania",76960,102091,51.2,10.1,9,32.3,20.9,13.1,40.3,89.8,6.1,4.6,3,1.5,0.112826018,0.881481563,0.005692419,0.887173982,PA-07,PA,7,repmeehan,R,977,469,5,0.323225362,0.673328739,0.324343015
343,"Congressional District 7 (113th Congress), South Carolina",37613,51856,20.5,1.6,2,61.8,46.3,33.1,19.4,67,30.6,1.1,4.1,1.5,0.353314044,0.527875081,0.118810876,0.646685956,SC-07,SC,7,reptomrice,R,222,82,3,0.267100977,0.723127036,0.269736842
344,"Congressional District 7 (113th Congress), Tennessee",47550,66867,29.9,4.4,3.6,52.2,38.1,26.4,25.1,86.8,10.9,2.1,4.4,1.6,0.521298707,0.336678872,0.142022421,0.478701293,TN-07,TN,7,marshablackburn,R,1239,875,7,0.412541254,0.584158416,0.413907285
345,"Congressional District 7 (113th Congress), Texas",67460,106356,45.6,12,7.3,37.9,26.2,17.6,46.7,69.3,12.4,10.6,30.6,4.3,6.90E-05,0.999931005,0,0.999931005,TX-07,TX,7,congculberson,R,565,264,6,0.316167665,0.676646707,0.318455971
346,"Congressional District 7 (113th Congress), Virginia",69725,90153,46.5,6.5,7.6,34.2,21.5,13.7,38.9,79,15.7,4.9,4.9,0.8,0.273324182,0.681902739,0.044773079,0.726675818,VA-07,VA,7,ericcantor,R,644,342,8,0.344064386,0.647887324,0.346855984
347,"Congressional District 7 (113th Congress), Washington",64465,89399,43.3,8.2,7.1,39.6,27.5,18.9,54.7,80.8,6,12.9,7.5,0.5,0.016480891,0.983519109,0,0.983519109,WA-07,WA,7,repjimmcdermott,D,1090,347,7,0.240304709,0.754847645,0.241475296
348,"Congressional District 7 (113th Congress), Wisconsin",46620,59726,26.2,2,2.3,53.4,36.7,24.4,20.5,95.4,1.1,1.8,1.9,4.5,0.724384057,0.112440974,0.163174969,0.275615943,WI-07,WI,7,repseanduffy,R,957,556,8,0.365548981,0.629191321,0.367481824
349,"Congressional District 8 (113th Congress), Arizona",56590,70158,35.7,2.8,4.3,43.3,27.8,17.5,27.4,89,5.1,3.9,18.8,0.5,0.022213861,0.969368657,0.008417482,0.977786139,AZ-08,AZ,8,reptrentfranks,R,769,155,5,0.166846071,0.827771798,0.167748918
350,"Congressional District 8 (113th Congress), Florida",46789,64661,28.7,3.1,3.6,53,37.6,25.3,25.8,86.4,10.9,2.6,9.5,0.9,0.054416437,0.936508477,0.009075085,0.945583563,FL-08,FL,8,congbillposey,R,608,456,4,0.426966292,0.56928839,0.428571429
351,"Congressional District 8 (113th Congress), Georgia",39880,53764,23.6,1.9,2.3,58.8,44.9,32.8,18.7,65.5,31.1,1.7,5.9,3.1,0.436726483,0.348894441,0.214379076,0.563273517,GA-08,GA,8,austinscottga08,R,513,638,5,0.551903114,0.443771626,0.554300608
352,"Congressional District 8 (113th Congress), Indiana",45739,58095,26,1.8,2.2,54,38.3,25.8,18.2,94.1,5,1.1,2.1,2.8,0.411237255,0.414334659,0.174428086,0.588762745,IN-08,IN,8,replarrybucshon,R,1612,907,10,0.358639779,0.637406089,0.360063517
353,"Congressional District 8 (113th Congress), Maryland",92505,124083,59.8,15.3,11.3,25,16.4,11.1,52.6,71.8,13.2,9.8,14,0.4,0.112442493,0.873507443,0.014050064,0.887557507,MD-08,MD,8,chrisvanhollen,D,653,128,4,0.163057325,0.831847134,0.163892446
354,"Congressional District 8 (113th Congress), Michigan",60016,77027,39.9,4.9,5.8,42.4,29.4,20.6,36.8,89.2,7.1,4.3,4.5,0.8,0.190743391,0.777554486,0.031702123,0.809256609,MI-08,MI,8,repmikerogers,R,744,269,3,0.26476378,0.732283465,0.265547878
355,"Congressional District 8 (113th Congress), New Jersey",52363,73970,34.6,5.7,5.3,48,35.5,25.4,29.1,59.4,12.3,8.9,54.1,0.1,0,1,0,1,NJ-08,NJ,8,rep_albio_sires,D,1,0,0,0,1,0
356,"Congressional District 8 (113th Congress), New York",42393,60200,28.5,3,4.5,55.8,43.1,33.6,27,31.5,57.5,5.2,17.6,0.1,7.43E-05,0.999925743,0,0.999925743,NY-08,NY,8,repjeffries,D,265,153,2,0.364285714,0.630952381,0.366028708
357,"Congressional District 8 (113th Congress), North Carolina",40712,52379,22.5,1.3,2,59.1,43.6,31.1,16.1,70.2,19.7,1.3,8.6,1.8,0.476284968,0.350934082,0.172780951,0.523715032,NC-08,NC,8,richhudson,R,552,517,6,0.480930233,0.513488372,0.48362956
358,"Congressional District 8 (113th Congress), Ohio",50409,63909,30.6,2.1,4.3,49.7,34.6,23.9,22,90.9,7,2,3,1.2,0.234237739,0.653802161,0.1119601,0.765762261,OH-08,OH,8,speakerboehner,R,2718,500,9,0.154942671,0.842268361,0.15537601
359,"Congressional District 8 (113th Congress), Pennsylvania",75022,96080,50,8.3,8.4,32.1,20.8,13.4,35.4,90.8,4.3,4.9,4.2,0.4,0.099236614,0.900017301,0.000746086,0.900763386,PA-08,PA,8,repfitzpatrick,R,1833,1251,13,0.403939296,0.591863093,0.405642023
360,"Congressional District 8 (113th Congress), Tennessee",50694,72358,33.1,4.8,4.5,49.4,35.9,24.6,27.4,78.1,19.9,2,2.6,1.6,0.404878713,0.363971014,0.231150274,0.595121287,TN-08,TN,8,repfinchertn08,R,1218,946,13,0.434542949,0.559485531,0.43715342
361,"Congressional District 8 (113th Congress), Texas",59925,81065,39.6,6.4,6.2,42.5,29.9,20.5,26.5,85.8,9,2.6,20.1,4.8,0.348419146,0.50009019,0.151490664,0.651580854,TX-08,TX,8,repkevinbrady,R,2396,731,51,0.23001888,0.753933291,0.233770387
362,"Congressional District 8 (113th Congress), Virginia",93118,120953,60.5,15.3,11.5,24,15.3,10.1,58.9,66.6,15.1,13.2,18.1,0.2,0.002342388,0.997657612,0,0.997657612,VA-08,VA,8,jim_moran,D,849,501,3,0.370288248,0.627494457,0.371111111
363,"Congressional District 8 (113th Congress), Washington",69753,86818,46.1,6.1,7.4,34.6,22.9,14.9,30.6,85.2,3.6,9.2,10,2.6,0.199096863,0.7002452,0.100657936,0.800903137,WA-08,WA,8,davereichert,R,809,649,5,0.443609023,0.552973342,0.445130316
364,"Congressional District 8 (113th Congress), Wisconsin",52436,65743,31.1,2.5,2.8,47.4,32.1,21.3,23.2,93.5,1.9,2.4,4.5,3,0.420307235,0.450213489,0.129479276,0.579692765,WI-08,WI,8,repribble,R,367,235,2,0.389072848,0.607615894,0.390365449
365,"Congressional District 9 (113th Congress), Arizona",48891,67189,30.8,3.8,4.1,50.8,36,24.7,34.6,82,6.6,6.2,26.6,0.4,3.04E-06,0.999996963,0,0.999996963,AZ-09,AZ,9,kyrstensinema,D,1392,1701,27,0.545192308,0.446153846,0.549951503
366,"Congressional District 9 (113th Congress), California",53645,70939,35.4,3.7,5.9,46.5,32.6,22.5,19,64.1,10.3,16.7,37.9,4.5,0.076354293,0.853946184,0.069699523,0.923645707,CA-09,CA,9,repmcnerney,D,277,281,1,0.502683363,0.495527728,0.503584229
367,"Congressional District 9 (113th Congress), Florida",43976,56348,23.8,1.8,2.2,56.4,39.2,24.9,22.9,78.1,12.5,5,46.1,0.4,0.097487906,0.819371096,0.083140998,0.902512094,FL-09,FL,9,alangrayson,D,841,235,14,0.21559633,0.771559633,0.218401487
368,"Congressional District 9 (113th Congress), Georgia",43579,57790,24.9,2.2,2.8,55.7,40.4,28.3,19.9,88.3,7.5,1.4,12,1.9,0.640596506,0.244192774,0.11521072,0.359403494,GA-09,GA,9,repdougcollins,R,530,371,1,0.411308204,0.587583149,0.411764706
369,"Congressional District 9 (113th Congress), Illinois",61455,90750,41.6,8.9,6.6,42.2,30,21.5,50.6,75.3,9.7,13.8,11.2,0.2,0,1,0,1,IL-09,IL,9,janschakowsky,D,1167,434,8,0.269732753,0.725295214,0.271080575
370,"Congressional District 9 (113th Congress), Indiana",48255,61513,28.4,2.3,2.7,51.4,36.2,25.5,23.2,94.3,3.5,2.3,3,1.4,0.359359936,0.516286308,0.124353756,0.640640064,IN-09,IN,9,reptoddyoung,R,1122,766,2,0.405291005,0.593650794,0.405720339
371,"Congressional District 9 (113th Congress), Massachusetts",59765,78787,39.9,5,6.3,42.6,30.4,21.8,31.9,93,3.8,1.6,4.2,0.9,0.144985915,0.803384353,0.051629731,0.855014085,MA-09,MA,9,repstephenlynch,D,277,249,3,0.470699433,0.52362949,0.47338403
372,"Congressional District 9 (113th Congress), Massachusetts",59765,78787,39.9,5,6.3,42.6,30.4,21.8,31.9,93,3.8,1.6,4.2,0.9,0.144985915,0.803384353,0.051629731,0.855014085,MA-09,MA,9,usrepkeating,D,252,319,1,0.557692308,0.440559441,0.558669002
373,"Congressional District 9 (113th Congress), Michigan",49093,65862,31,3.2,3.7,50.9,36.2,24.5,27.1,84.2,11.8,4.5,2.1,0.1,0,1,0,1,MI-09,MI,9,repsandylevin,D,881,273,4,0.235751295,0.760794473,0.236568458
374,"Congressional District 9 (113th Congress), New Jersey",57764,80722,39.3,6.3,6.9,43.6,32.7,22.9,30.8,67,13.2,12.8,34.3,0.1,0,1,0,1,NJ-09,NJ,9,billpascrell,D,317,315,5,0.494505495,0.497645212,0.498417722
375,"Congressional District 9 (113th Congress), New York",46381,65868,30.2,4,4.3,52.8,39.6,29.3,31.8,34.6,54,6.7,11,0.1,0,1,0,1,NY-09,NY,9,yvetteclarke,D,2032,952,6,0.318394649,0.679598662,0.319034853
376,"Congressional District 9 (113th Congress), North Carolina",69207,98313,46.1,8.9,7.6,34.8,22.7,14.6,46.3,81.5,13.7,4.4,7.8,0.3,0.090011753,0.909988247,0,0.909988247,NC-09,NC,9,robertpittenger,R,216,336,1,0.607594937,0.390596745,0.608695652
377,"Congressional District 9 (113th Congress), Ohio",38973,52148,21.4,1.7,2.1,60.8,45.5,33,20.4,79.5,18.4,1.8,9.6,0.4,0.04491274,0.850192655,0.104894605,0.95508726,OH-09,OH,9,repmarcykaptur,D,191,128,7,0.392638037,0.585889571,0.401253918
378,"Congressional District 9 (113th Congress), Pennsylvania",43104,54703,23.5,1.3,2.2,56.5,40.7,28.2,16.8,95.7,3.9,0.8,1.8,3.5,0.470039016,0.36354991,0.166411074,0.529960984,PA-09,PA,9,repbillshuster,R,1466,533,10,0.265306122,0.729716277,0.266633317
379,"Congressional District 9 (113th Congress), Tennessee",37323,50600,20.5,1.5,2,62.2,47.2,34.3,22.4,29.5,65.6,2.1,6.9,0.3,0.01380245,0.98619755,0,0.98619755,TN-09,TN,9,repcohen,D,1363,660,20,0.323054332,0.667156143,0.326248146
380,"Congressional District 9 (113th Congress), Texas",40875,54715,23.6,1.8,2.3,59,42.7,29,22.9,38.8,39.1,11.3,38.2,1.5,0.000429959,0.999570041,0,0.999570041,TX-09,TX,9,repalgreen,D,110,109,2,0.49321267,0.497737557,0.497716895
381,"Congressional District 9 (113th Congress), Virginia",37246,50648,20.1,1.7,1.5,62.3,47.2,34.3,17.9,92.7,6,1.4,1.9,3.8,0.601171377,0.207671174,0.19115745,0.398828623,VA-09,VA,9,repmgriffith,R,403,247,0,0.38,0.62,0.38
382,"Congressional District 9 (113th Congress), Washington",62028,84217,41.3,6.7,6.4,41,28.1,19.5,37.3,60.4,13.2,24,11.8,0.4,0.000280933,0.999719067,0,0.999719067,WA-09,WA,9,rep_adam_smith,D,1,0,0,0,1,0
